date,ORCL,QCOM,MU,INTC,MSFT,JDSU
2001-05-14,12.7373503892,17.377582153,39.6814568473,15.6071151398,20.9002170629,161.12
2001-05-15,12.6499994825,18.1652518993,38.1214978558,15.4875422037,20.7633559209,158.72
2001-05-16,13.0232260837,19.7711212268,38.2189952928,16.1480403271,21.0340368461,168.24
2001-05-17,12.8008783213,20.2565456053,40.0129481331,16.2846951112,20.7329423337,172.08
2001-05-18,12.9279341855,19.9604062046,39.0867224818,16.3757983007,20.7086114641,169.52
2001-05-21,14.3731946412,21.6761829386,41.5534076372,17.0249085254,20.9215065738,188.0
2001-05-22,13.9602630824,21.3434077357,39.7984537717,16.8142323998,21.3837930979,185.6
2001-05-23,13.3646887188,20.7938707035,39.242718381,16.398574098,21.1982702165,179.84
2001-05-24,13.73791532,21.3708845874,39.2232188936,16.6320260209,21.8126246762,180.4
2001-05-25,13.1105769904,20.6137446763,39.6814568473,16.5693925782,21.5662746206,170.08
2001-05-29,12.3958877541,20.2046448856,37.0295265617,15.8576489108,21.3929171741,153.36
2001-05-30,11.5223786875,18.8735440741,35.8205583433,15.1459052433,21.0431609223,135.52
2001-05-31,12.1497170171,18.5438218548,36.5615388643,15.3793571662,21.0401195636,133.68
2001-06-01,12.5944125419,18.8033254534,38.2189952928,16.364410402,21.3929171741,138.32
2001-06-04,12.7532323722,18.9101798763,37.4487655407,16.5750865275,21.5267369574,135.68
2001-06-05,13.3091017782,19.3925512713,40.948923528,16.9281113866,22.0802642428,138.4
2001-06-06,13.4996855746,19.075040986,40.432187112,16.9793569307,22.0072716337,132.24
2001-06-07,13.7617382945,19.8443928311,43.7276004817,17.7309582435,22.4087309836,136.48
2001-06-08,13.5076265661,18.6964710304,42.235889696,17.4633426245,22.2597044067,128.4
